Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
3098,SNHG8,EC-aPCV,-0.134813465382323,-0.283028155902499,-0.0488423006109904,-0.166245416453336,9.15259750222234,4.1998173609289e-05,0.48333093901451185,PASS,
3099,LUC7L3,B cell,0.955106701833582,1.02423763631495,0.878201772645255,0.841980247102102,9.32371744141682,2.67959125911206e-11,0.4833289490946998,PASS,
3100,MYD88,B cell,1.12877463278704,0.0366639083793267,0.0192447574583595,0.265414613249672,8.38477491499749,6.11555707479356e-17,0.48332678643331184,PASS,
3101,S100A11,cDC2,-0.676641701329129,-0.451829382007121,-0.639495162607126,-0.497762905000856,10.8380754412173,7.92464500623324e-08,0.4833044032123516,PASS,
3102,BAG3,EC-aPCV,0.762574289538793,1.54159170259516,1.75942983084197,1.2524326027528,8.23924305730567,1.81106708418822e-06,0.48322697111536683,PASS,
3103,MT-ND2,EC-tip,0.0276894563263662,0.613951219403807,0.70800703000376,0.449667090081612,11.4462929579076,6.4108744284668e-61,0.48320890499543756,PASS,
3104,M6PR,B cell,1.02909834212095,0.190920199739934,0.378867852291994,0.403004247251549,8.62561326544382,3.18811099525203e-10,0.48313394837438767,PASS,
3105,ID1,Prv-CCL19,-1.8593330840683,-1.97770913279831,-1.1995563235693,-1.50538416675632,8.34246799144166,1.80868351977768e-25,0.4831219595663962,PASS,
3106,PARK7,cDC2,-0.479564749520529,-0.0502466943302301,-0.498508976750773,-0.270540075905887,8.91865706537071,1.86395004437336e-08,0.4830957906921582,PASS,
3107,CST3,Prv-CCL19,0.705875621906566,1.0147401970426,0.874524029049991,0.790015788355502,10.4904753842242,2.2793817991542e-14,0.48309207689475336,PASS,
3108,KAZN,EC-tip,1.72590838161793,0.913636359350292,0.894145664594736,0.96883546238548,7.43210431122065,5.499330031131671e-46,0.4830053936710282,PASS,
3109,CARD16,Treg,0.474035238208929,0.362654890095611,0.858759905957817,0.487199878542545,9.39241988653135,0.000776192499657,0.4829913962750405,PASS,
3110,SYNPO2,Prv-CCL19,0.988363428708281,1.52572412987639,1.2066239241372,1.14356225645587,9.9721791685844,4.82884481924736e-15,0.4829638446661922,PASS,
3111,NPC2,Mɸ4-infiltrated,0.76223278791029,1.07109868723815,1.00913321090423,0.862609909887216,10.1911000585609,1.14012186018243e-48,0.48295547688821916,PASS,
3112,ACTB,B cell,-0.113496475667006,-0.581410349696351,-0.0651174474469682,-0.288612294722372,11.4633619680261,1.1410527422761e-13,0.4829349768705089,PASS,
3113,CFI,cDC2,-1.76710556348826,-1.49555296195078,-1.56479103513499,-1.39501046471493,6.8429756099681,8.89458484419538e-11,0.48292513547597876,PASS,
3114,NDUFA13,EC-PCV,0.519550851874903,0.989276349473706,1.13517031124136,0.815861551865804,8.68163761866914,4.41726408546374e-06,0.4829166991449697,PASS,
3115,HPSE,Mɸ4-infiltrated,-2.10527747677484,-2.59432307008486,-2.70721751961214,-2.24536473510449,7.78917713453972,2.73440157094093e-110,0.4829116722417733,PASS,
3116,RPS19,cDC2,-0.0858885091399661,-0.0539719752738943,-0.330915191597985,-0.152911963347719,12.2401439576669,1.31094959304433e-05,0.4829004317935789,PASS,
3117,MTHFD2,EC-aPCV,2.00720641257963,0.400908766588775,0.570743284948284,0.74315173847221,7.86974360174217,2.30215498091065e-20,0.48285902112565315,PASS,
3118,NPM1,Mɸ1-LYVE1,-0.0848048229534303,-0.616363201374964,-0.708707348979411,-0.468876083424459,9.1524717262353,2.1694313662889e-30,0.48285750313489617,PASS,
3119,PABPC1,Mɸ4-infiltrated,-0.325483309364462,-0.3980301705677,-0.565405096002186,-0.394874103498964,9.9761440288513,1.06679997068716e-20,0.4828540411393772,PASS,
3120,GPBAR1,Mɸ1-LYVE1,0.284708311826688,1.78709477358072,1.11082941508405,1.07895476210933,7.28077624200018,1.2606999694511e-33,0.4828526966267749,PASS,
3121,LILRB4,B cell,2.10715022745651,0.0702304068375652,0.606685846348281,0.647096582935248,8.34110082941751,8.13308833864073e-65,0.4828380219446184,PASS,
3122,HLA-DPB1,B cell,-0.495500917321192,-0.874223672923382,-0.913872351455376,-0.707258299438013,11.1448044446037,8.26710194871231e-29,0.48283490778256427,PASS,
3123,UPP1,Mɸ4-infiltrated,-0.84111536373334,-0.958827178872664,-1.29129757920799,-0.914679542892293,8.82167605528959,2.12979464612754e-37,0.48277990486254707,PASS,
3124,GNAQ,cDC2,1.58883113046528,0.113857803183429,0.867632785641527,0.626766841845466,7.69201842365572,1.51757658345213e-17,0.4827703284425522,PASS,
3125,RACK1,cDC2,-0.0174394387675089,-0.265204111870709,-0.496962278874867,-0.266283799493491,10.6394412215197,1.17627674946254e-07,0.48276275610793196,PASS,
3126,ATP5MG,cDC2,-0.154418262746593,-0.0911353144034454,-0.495042740804819,-0.227941318934467,9.75751882161046,1.13649083121387e-08,0.4827108990770829,PASS,
3127,FRZB,Prv-CCL19,-1.66922080389963,-1.93855612343778,-2.59367556040519,-1.84861842088315,8.73969546756192,1.33071768617165e-47,0.48269043910974696,PASS,
3128,GAPDH,B cell,-0.416964327161122,-0.654137479929599,-0.177329093770448,-0.411907246348812,9.64237582379979,1.8947015496896e-08,0.48268097522111125,PASS,
3129,IFIT2,Mɸ4-infiltrated,2.38083719037344,1.27011413516085,2.42958422966258,1.68383474812606,7.56587176246475,2.69952389418374e-33,0.4826790023938781,PASS,
3130,PLBD2,Mɸ1-LYVE1,0.997170499565318,0.038280570266217,0.458435477656335,0.36889797891964,7.61702745537977,3.44462943912949e-23,0.4826534974602153,PASS,
3131,ITPR3,EC-aPCV,1.33138254002349,0.296005637055646,0.289326052504888,0.490874366134238,7.90707043004968,3.16829615563421e-05,0.48263945171624734,PASS,
3132,SPRY2,EC-tip,1.36713880654523,0.590208973095654,0.438928332543932,0.651807198767232,7.30989164340102,4.36346086782399e-32,0.4826083946305451,PASS,
3133,LRG1,cDC2,0.397445561979106,0.495789293056768,1.44360483744561,0.688858948500833,6.8389041930676,2.24495214041788e-06,0.4825922229453662,PASS,
3134,LY6E,EC-aPCV,-0.339006630553319,-0.823877871403458,-1.00376252530767,-0.684769225846623,8.95179652622641,1.9835346166823e-09,0.48258150413311707,PASS,
3135,MYO1G,cDC2,0.424573299136592,0.108030022178794,1.25186706176558,0.493807626549058,7.27252927090362,1.84524684359964e-10,0.4825753932055246,PASS,
3136,FNIP2,B cell,0.735578385401582,0.0083953472771122,0.151288144390837,0.225080769736854,8.30118386365714,5.57670257500572e-12,0.4825722179275391,PASS,
3137,BLOC1S1,cDC2,-0.465135521080915,-0.120986093513629,-0.605828615064964,-0.333997118380959,8.43718249646642,6.04638334101213e-06,0.48254861479591876,PASS,
3138,PALLD,B cell,0.861748536287971,0.259016249373227,0.743449835384588,0.504319884800559,8.3222899654336,1.38408389849805e-07,0.4825009287870635,PASS,
3139,LY96,B cell,0.941003057577555,0.0207572454469039,0.0140863288648449,0.236751034149206,8.40954656858493,1.04173449019515e-09,0.4824985609851518,PASS,
3140,SPINT2,EC-PCV,-0.838569081372883,-1.33732817633871,-1.17944110171141,-1.03782402287968,7.95285143104302,0.0007819899624976,0.48246869945754955,PASS,
3141,CREM,EC-PCV,-0.523364256098155,-1.25333590282747,-1.30999951907705,-0.97577782148081,8.0531101581604,5.46600429451376e-06,0.48246827028518374,PASS,
3142,MT-ND1,Prv-CCL19,0.217100118844374,0.32500446295283,0.552730965044026,0.3498604783252,12.5980340701182,1.76647952759065e-11,0.4824473566704922,PASS,
3143,LRRFIP1,Mɸ1-LYVE1,0.31793594128149,0.751338274892179,1.08907460286636,0.678642446771332,8.83283988646041,1.00635092130518e-32,0.4824009604459303,PASS,
3144,RPL11,Mɸ1-LYVE1,-0.0799950677759318,-0.3084481961679,-0.627750886328293,-0.337253773499174,11.0338880819749,1.99432456740187e-25,0.4823952188901188,PASS,
3145,FZD3,B cell,1.00264753415764,0.0061382431211805,0.260052778371018,0.310849557438736,8.31438752999057,1.05542570688812e-10,0.4823760774135007,PASS,
3146,IFI16,cDC2,0.855964382724624,0.176943817173918,0.603926594931494,0.437297975794324,8.29503917663783,9.17015655449011e-06,0.4823581487921207,PASS,
3147,GLIPR1,B cell,0.947829716022725,0.0457042304271368,0.0442951562360931,0.258846288943473,8.70898881076858,1.05547130241798e-11,0.4823332495828804,PASS,
3148,COL8A1,Treg,0.442554262038074,0.129914385942806,0.080138569831595,0.198872978972036,8.33433057690402,4.6864565344459e-06,0.482314177005498,PASS,
3149,BAMBI,cDC2,-0.640118808536768,-1.0830470179903,-1.0830470179903,-0.873366391908736,6.75774893336937,8.10532054357465e-11,0.48229891512205514,PASS,
3150,RDH11,Mɸ4-infiltrated,0.416043150544073,0.789470827312595,1.38286142642816,0.795642237016379,7.7605085637862,1.14677502052851e-23,0.4822559900716008,PASS,
3151,CBLB,Treg,0.530496098345371,0.158570181390941,0.815497038277933,0.42303104010763,8.66049973390813,0.0051412973984843,0.48225492865229264,PASS,
3152,CPM,Prv-CCL19,3.31868670472093,0.995502994594688,0.329804701235765,1.20260708536782,8.34235530716042,1.85255939766816e-73,0.4822422490318394,PASS,
3153,VMP1,Prv-CCL19,-0.362104544384019,-0.295786985397599,-1.19342973663115,-0.543504033908446,9.33042750921455,3.87173955883063e-12,0.48223096620071404,PASS,
3154,AOC1,B cell,0.232781638373714,0.0512333488901536,0.510994194165085,0.242552231456745,8.29489759329383,1.21690245443493e-10,0.48222695570166724,PASS,
3155,WFDC2,EC-PCV,-2.63610671373943,-2.0106116537183,-2.19429668377079,-1.97991904649034,7.9637747386212,4.18609443009359e-17,0.4822009116983287,PASS,
3156,RAMP3,EC-aPCV,1.45777964725583,1.65676478101385,1.4428862904884,1.37148490064202,8.9679128281173,2.12898210771241e-06,0.4821556268380431,PASS,
3157,PLSCR1,B cell,0.884481407224702,0.0353691129166107,0.55699741853303,0.380876336279571,8.40779514020043,1.2090898195076e-08,0.4821535606993105,PASS,
3158,FOS,EC-aPCV,2.48403362958213,1.20706355965316,1.14004347426831,1.32776515066697,9.48550994833377,4.672608748066899e-12,0.4820893031601887,PASS,
3159,IER3,Mɸ4-infiltrated,-1.54072576899085,-1.52613876132696,-1.20242396917213,-1.2714149256684,9.18428294672665,1.66975985297835e-39,0.48207273742127543,PASS,
3160,HDDC2,Mɸ1-LYVE1,1.44001027351907,0.313693444661636,0.51347039666614,0.590240525400111,7.52235385649419,2.25398523531291e-41,0.4820679968705056,PASS,
3161,CHURC1,Mɸ1-LYVE1,0.825133543593601,0.0889583978526315,0.18724405607179,0.29325679307843,8.09178639936055,5.210502586717e-29,0.4820671304428692,PASS,
3162,IGFBP5,Prv-CCL19,1.24252161092315,2.32030729481839,2.21120458330854,1.8132787577785,12.4095675387385,1.50973445827733e-56,0.48206490094214355,PASS,
3163,RPL3,Mɸ4-infiltrated,-0.173727595370869,-0.124843965231302,-0.617246213360121,-0.290067952685215,10.6280338371086,5.76152637903838e-27,0.482062394078581,PASS,
3164,CRTAP,cDC2,1.49399562706734,0.315358128442233,0.684720568357744,0.648091466625369,7.29291468827089,6.0558990004111e-07,0.4820490893221336,PASS,
