Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
265,CCDC80,dS2,2.23931501330021,1.37495802789057,1.8926901823713,0.299846557298605,7.84210009410402,7.84064395064322e-124,0.5570246854985005,PASS,
266,SEMA3E,EC-PCV,0.178297729565515,2.28221437178022,2.32507678806974,0.355412869313391,8.20230972667595,5.79741952102615e-20,0.5569785049072044,PASS,
267,CD163,cDC2,4.45420854820045,1.3889575687939,2.19907410572013,1.01742491784103,7.19231831762701,3.52226838399201e-45,0.5569435691727367,PASS,
269,CCND1,EC-PCV,0.609999309355138,1.70923153022936,2.19512680213689,0.113311912513141,8.196544191094,1.74508361615566e-13,0.5568418732413417,PASS,
273,LMCD1,Prv-CCL19,3.13507122034237,2.30976691683458,2.0985541645283,1.1660587870791,8.85075852481915,1.16027265734993e-29,0.5566804950759906,PASS,
274,C5AR1,Mɸ1-LYVE1,0.903141625283014,1.72278886295321,1.82601317127501,0.0696560328477588,8.97319933054262,5.80028308012628e-66,0.5566775387267537,PASS,
275,MAP3K8,EC-aPCV,1.53747211964717,2.42620744661747,2.11710222446717,0.796219360048243,8.12281416685256,3.14797205627645e-10,0.5565159019970477,PASS,
276,CFD,Prv-CCL19,1.68560018352523,5.40943919769682,5.1034744222516,3.10691806556298,10.2242862277763,8.13079858770953e-72,0.5564489294339455,PASS,
277,GNLY,dS2,1.20560413723348,1.55217365333069,3.72605475444597,0.80298218534983,7.36298620825382,2.69729892601811e-253,0.556415137163579,PASS,
278,PGM5P3-AS1,dS2,1.09393315921148,1.27386216521999,2.17221609974902,0.0160062047331805,7.10210336618795,1.88391240386888e-121,0.5559962481266508,PASS,
279,IL7R,B cell,2.15931199854159,1.50672988898216,2.14413742959975,0.478897624263726,8.41121171849455,8.12199671411838e-49,0.5559743325989892,PASS,
280,AC108134.2,EC-PCV,1.3694836374106,1.35803983426153,2.33107621322229,0.223599111806241,8.30444766305231,1.11456605842731e-17,0.555950131882397,PASS,
283,CTTNBP2,cDC2,1.67415860965603,2.04672454750371,1.1516614181454,0.24242503974995,7.01454090465216,8.073332486527409e-26,0.5558466684177227,PASS,
286,RNASE1,cDC2,2.4753740381512,0.927035905411385,2.15726349223317,0.234165536766478,6.85611672787833,7.047283089612249e-22,0.5554932763482276,PASS,
288,HERPUD1,Mɸ4-infiltrated,2.02618184822734,1.47250800476898,1.18249627744973,0.0365658801289158,8.85302017539109,4.04182518593562e-55,0.555088957226414,PASS,
